CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/26/2022,16:00,BROOKLYN,11207,21.9378263,96.1303347,"(21.9577603, 96.1402913)",SUTTER AVENUE,SCHENCK AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4513833,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
03/26/2022,23:17,MANHATTAN,10002,21.9477432,96.1402913,"(21.9378263, 96.1206227)",ESSEX STREET,EAST HOUSTON STREET,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4513887,Station Wagon/Sport Utility Vehicle,Sedan,,,
03/23/2022,9:00,,,21.9577603,96.150318,"(21.9378263, 96.1206227)",FLATBUSH AVENUE,,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,4514160,Sedan,Motorcycle,,,
03/26/2022,5:00,,,21.9378263,96.1603192,"(21.9477432, 96.1303347)",BRONX RIVER PARKWAY,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4514002,Sedan,Sedan,,,
03/25/2022,6:15,,,21.9477432,96.1206227,"(21.9577603, 96.1402913)",EAST 120 STREET,,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,Unspecified,,,4514152,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
03/26/2022,21:50,,,21.9577603,96.1303347,"(21.9378263, 96.1206227)",FDR DRIVE,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4513626,Taxi,Sedan,,,
03/26/2022,21:25,BROOKLYN,11225,21.9378263,96.1402913,"(21.9378263, 96.1206227)",,,200       ROGERS AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4513774,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
03/25/2022,18:13,BROOKLYN,11218,21.9477432,96.150318,"(21.9477432, 96.1303347)",,,604       EAST 2 STREET,2,0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,Unspecified,,4514376,Sedan,Sedan,Sedan,Sedan,
03/26/2022,20:10,BRONX,10456,21.9577603,96.1603192,"(21.9577603, 96.1402913)",EAST 168 STREET,3 AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,4513982,Sedan,,,,
03/25/2022,12:55,,,21.9378263,96.1206227,"(21.9378263, 96.1206227)",GRAND CONCOURSE,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4514220,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,
